"GeneID","baseMean","log2FoldChange","lfcSE","pvalue","padj","protein_gene_abrev_isoform","gene_pathway","protein_family_common","protein_family_common_abrev","protein_family_isoform","ec_number","reaction_id","enzyme_id","locus_id","expression_id_eff","est_expression","pyro_expression","evidence_targeting","evidence_for_function","mutant_names","remarks","ref_1","ref_2","ref_3"
"AT3G53510",77.4264244468067,1.95424655128813,0.571134074977861,0.0000258450566369629,0.00102891380904225,"AtWBC20;AtABCG20","Cuticular Wax Synthesis","ABC Transporter","ABC","ABC Transporter",NA,NA,230,425,692,NA,NA,NA,"Sequence similarity to ABCG11 and ABCG12/CER5",NA,NA,NA,NA,NA
"AT3G53980",82.6791030956258,1.78432857681541,0.550965698184469,0.0000442584556653089,0.00159891928265493,NA,"Cuticular Wax Synthesis","Lipid Transfer Protein","LTP","Lipid Transfer Protein type 4",NA,"162",193,426,472,4.21999433,0.79847013,"targetP, RC3","Sequence similarity",NA,NA,NA,NA,NA
"AT3G55130",2743.24440373429,0.56123192168231,0.246166563901693,0.00167677818234733,0.0257038649486794,"AtWBC19;AtABCG19","Cuticular Wax Synthesis","ABC Transporter","ABC","ABC Transporter",NA,NA,230,434,699,NA,NA,NA,"Sequence similarity to ABCG11 and ABCG12/CER5",NA,NA,NA,NA,NA
"AT4G00240",314.717172769355,0.917613368525836,0.206053744504883,0.000000568476850789927,0.0000448207888383394,"PLDBETA2","Phospholipases",NA,NA,"Phospholipase D beta",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"AT4G00570",4343.24651165592,0.313715872797116,0.101419860262443,0.00049404953261362,0.0104440776741595,NA,"Glycolysis","NAD-Malic Enzyme","NAD-ME2",NA,"1.1.1.39",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Wheeler et al 2006;http://www.plantphysiol.org/cgi/content/full/139/1/40",NA,NA
"AT4G02050",1770.12320914421,0.421955742888706,0.164837854942031,0.00125613207361212,0.0210704621218167,NA,"Transporters","monosaccharide transporter","STP7",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Büttner 2007;http://www.sciencedirect.com/science?_ob=ArticleURL&_udi=B6T36-4N8C72V-2&_user=1111158&_rdoc=1&_fmt=&_orig=search&_sort=d&_docanchor=&view=c&_acct=C000051676&_version=1&_urlVersion=0&_userid=1111158&md5=45cf25c09ee282fe6e89d2829c95f906",NA,NA
"AT4G02280",747.051724097947,0.673108840297747,0.187635953911977,0.0000245497423345244,0.000990377522011938,NA,"Sucrose Degradation","sucrose synthase","SUS3",NA,"2.4.1.13",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Fallahi et al 2011;http://www.ncbi.nlm.nih.gov/pmc/articles/PMC2529237/?tool=pubmed",NA,NA
"AT4G13050",995.098897555515,-0.292368068553032,0.113073913124763,0.00257930356665435,0.0352126581110369,NA,"Plastidial Glycerolipid, Galactolipid & Sulfolipid Synthesis","Acyl-ACP Thioesterase A","FATA","Acyl-ACP Thioesterase A","3.1.2.14","9",15,484,256,1.20571267,0.93154849,"targetP, RC2",NA,NA,NA,NA,NA,NA
"AT4G13050",995.098897555515,-0.292368068553032,0.113073913124763,0.00257930356665435,0.0352126581110369,NA,"Plastidial Fatty Acid Synthesis","Acyl-ACP Thioesterase A","FATA","Acyl-ACP Thioesterase A","3.1.2.14","9",15,484,257,1.20571267,0.93154849,"targetP, RC2",NA,NA,NA,NA,NA,NA
"AT4G24230",29.8048370380827,-0.866271524872753,0.42469557674874,0.00162947266480919,0.0252021634835185,"ACBP3","Eukaryotic Phospholipid Synthesis","Acyl CoA Binding Protein","ACBP","Acyl CoA Binding Protein",NA,NA,277,520,711,NA,NA,NA,"Heterologous protein expression",NA,"Extracellular ACBP","Leung et al 2006;http://www.springerlink.com/content/f2698v01740h2352/",NA,NA
"AT4G24230",249.391081901402,-0.571450153907092,0.173177601158712,0.0000850197750482808,0.00265535955489502,"ACBP3","Eukaryotic Phospholipid Synthesis","Acyl CoA Binding Protein","ACBP","Acyl CoA Binding Protein",NA,NA,277,520,711,NA,NA,NA,"Heterologous protein expression",NA,"Extracellular ACBP","Leung et al 2006;http://www.springerlink.com/content/f2698v01740h2352/",NA,NA
"AT4G33790",93.2084333441631,1.01782120577732,0.623417865693383,0.00287469243985072,0.0380231843019921,"AlcFAR3 (CER4)","Aliphatic Suberin Synthesis","Alcohol-forming Fatty Acyl-CoA Reductase","AlcFAR","Alcohol-forming Fatty Acyl-CoA Reductase (ER)","1.1.1.*","151",181,551,352,2.10999717,0,"targetP, RC4","Heterologous expression and mutant characterization; Sequence similarity to soybean jojoba and pea FAR enzymes","cer4","Can form aldehyde and/or primary alcohols; functions in wax synthesis","Rowland et al 2006;http://www.pubmedcentral.nih.gov/articlerender.fcgi?tool=pubmed&pubmedid=16980563","Jenks et al 1995;http://www.pubmedcentral.nih.gov/articlerender.fcgi?tool=pubmed&pubmedid=12228482","Metz et al 2000;http://www.pubmedcentral.nih.gov/articlerender.fcgi?tool=pubmed&pubmedid=10712526"
"AT4G33790",93.2084333441631,1.01782120577732,0.623417865693383,0.00287469243985072,0.0380231843019921,"AlcFAR3;CER4","Cuticular Wax Synthesis","Alcohol-forming Fatty Acyl-CoA Reductase","AlcFAR","Alcohol-forming Fatty Acyl-CoA Reductase","1.1.1.*","151",181,551,353,2.10999717,0,NA,"Mutant characterization; heterologous expression in yeast and E. coli","cer4",NA,"Rowland et al 2006;http://www.pubmedcentral.nih.gov/articlerender.fcgi?artid=1630741&tool=pmcentrez","Doan et al 2009;http://www.sciencedirect.com/science?_ob=ArticleURL&_udi=B7GJ7-4V2PSKP-1&_user=10&_rdoc=1&_fmt=&_orig=search&_sort=d&_docanchor=&view=c&_acct=C000050221&_version=1&_urlVersion=0&_userid=10&md5=f5a9cfcf397230e3b9808eef1802952d",NA
"AT4G39670",87.4691049222307,1.52866013865914,0.576671148470481,0.000348216488758605,0.00801195827984983,NA,"Sphingolipid Synthesis","Sphingosine Transfer Protein","STP","Sphingosine Transfer Protein",NA,"175",218,571,340,2.00952111,0.53231342,"targetP, RC2","Sequence similarity to ACD11",NA,NA,NA,NA,NA
